text,label
气吞山河,自信
小声嘟囔,害羞
葛优躺,平静
忧心忡忡地皱眉,担心
恐惧地咬着手指,害怕
害怕得缩成一团,害怕
害羞得缩了缩脖子,害羞
激动地抓着头发,兴奋
不安地看向窗外,担心
疑惑地歪着头表示困惑,疑惑
愤怒地扭头,生气
核爆级羞耻,难为情
兴奋地拍着爪子,高兴
开心地前后摇摆,兴奋
不安地舔嘴唇,担心
耳朵害羞地轻轻垂下,害羞
满足地舔舔嘴唇,高兴
核威胁,生气
用尾巴轻轻拍打椅子,无奈
突然使坏,调皮
恶心地捂住嘴,厌恶
轻轻侧过脸,害羞
羞耻尖叫,难为情
尾巴害怕地卷起来,害怕
腰肢轻扭,心动
害怕地捂住耳朵,害怕
困惑地歪着头思考问题,疑惑
恶作剧,调皮
用尾巴轻轻缠住脚踝,无奈
不慌不忙地整理,认真
愤愤不平地叉腰,生气
手指轻轻绞在一起,害怕
轻轻靠近你,高兴
不可思议,惊讶
左顾右盼,慌张
端起咖啡继续思考,认真
用尾巴尖轻轻扫地面,无奈
气得尾巴炸毛,生气
渴求爱抚,心动
用纸团丢人,调皮
羞耻漏气,难为情
语无伦次,难为情
亢奋,兴奋
担心地来回踱步,担心
吐露爱语,心动
兴奋地拍打椅背,兴奋
困惑地歪着脑袋发出困惑的声音,疑惑
害羞地玩着尾巴,害羞
反感地缩脖子,厌恶
波澜不惊,平静
灵魂拷问,疑惑
摆动着尾巴蹦跶,高兴
挑眉,自信
灵魂出窍,慌张
激动得说话都破音,兴奋
脚步不自觉后退,紧张
厌恶地往后仰,厌恶
坐立不安,紧张
哭到抓衣角,哭泣
用指甲轻轻敲击杯子,无奈
愤怒地翘起尾巴,生气
从指缝里偷看你,害羞
惊视,惊讶
兴奋地跳着转圈,兴奋
小声地呜咽,哭泣
突然牛哞,难为情
轻轻依偎在你身旁,高兴
焦虑地来回踱步,担心
躲在角落里缩成一团,害怕
气鼓鼓地跺脚,生气
惊喘,惊讶
不安地搓着手,担心
厌恶地憋着气,厌恶
哭到抓头发,哭泣
嘴巴微微上扬,高兴
担心地望向远处,担心
嘴角微微下撇,厌恶
不解地歪着头看你,疑惑
不解地眨眨眼,疑惑
神色淡然,平静
冷着脸叉腰,生气
羞愤欲死,生气
胸有丘壑,自信
用手掌撑着脸颊发呆,无奈
眨眼,调皮
鼻子抽动,哭泣
惊愕,惊讶
困惑地歪着脑袋发出困惑的呜声,疑惑
不安地咬指甲,担心
皱起眉毛盯着你,厌恶
反感地皱眉毛,厌恶
伸出爪子碰碰你,高兴
把下巴搁在桌子上,无奈
噘着嘴鼓腮帮,生气
指挥若定,自信
超出预期,惊讶
得意挑眉,自信
开心地蹦跳着哼歌,兴奋
羞耻漏知,难为情
慌张地低头,慌张
恐惧地屏住呼吸,害怕
思考着点了点头,认真
兴奋地拍打房门,兴奋
害羞地低头,害羞
担心地绞着尾巴,担心
急得直跺脚,紧张
不安地搓着衣角,担心
目光闪烁,紧张
情动,心动
皱着眉咬着笔,认真
撅着嘴巴闷闷不乐,生气
不可思议,惊讶
抽离,平静
担心地绞着衣角,担心
眼神充满期待,高兴
害怕地抱住自己,害怕
偷换饮料,调皮
浑身紧绷,心动
入梦,平静
忐忑,紧张
轻松驾驭,自信
慌乱地理了理衣服,害羞
用尾巴拍地,生气
局促,紧张
踱步,自信
专注地做笔记,认真
厌恶地揪衣角,厌恶
把帽子反戴,调皮
轻轻贴近你,高兴
羞耻闭眼,难为情
猛然一惊,惊讶
抽抽搭搭,哭泣
嘟起嘴巴翻白眼,生气
嘴角弯得更深了,高兴
瞠目结舌,惊讶
藏东西,调皮
睥睨,自信
侧耳倾听,认真
风平浪静,平静
嘟着嘴,生气
害怕地环抱住自己,害怕
轻轻咬着指尖,害怕
眼里满是笑意,高兴
耳朵尖微微发烫,害羞
慌里慌张,慌张
用手指轻轻点嘴唇,无奈
用手指卷着头发发呆,无奈
振奋,兴奋
泰然处之,平静
轻轻摇头不再反驳,无奈
软绵绵地趴在你身上,高兴
把扣子解开,调皮
疑惑地歪着尾巴思考,疑惑
快乐地左右扭动,兴奋
清静,平静
激动地抓着衣角跳,兴奋
面不改色,平静
害羞地别开视线,害羞
哭到发抖,哭泣
拉头发逗弄,调皮
泪腺崩溃,哭泣
梨花带雨,哭泣
悲鸣,哭泣
疑惑地歪着头表示不解,疑惑
诧异莫名,惊讶
发情期标记,心动
腰身发颤,心动
耳朵轻轻抖动,害羞
坚定地注视着,认真
把帽子往下拉了拉,无奈
稳如老狗,自信
运筹决胜,自信
屏住呼吸,认真
淡定自若,自信
羞耻蹬腿,难为情
嘟嘴鼓腮帮瞪你,生气
紧紧抱住尾巴,高兴
不解地歪着耳朵听你解释,疑惑
咬着嘴唇哭,哭泣
哭哑嗓子,哭泣
泪湿地毯,哭泣
紧张,紧张
哭到捶地,哭泣
纳闷地翻看,疑惑
焦虑地咬着指甲,担心
不解地歪着头思考你的说法,疑惑
眼神躲闪不敢直视,害怕
闲庭信步,自信
平和,平静
紧张地揪衣摆,紧张
兴奋地拍打自己的腿,兴奋
狡黠地眨眼睛,调皮
不解地歪着耳朵听你描述,疑惑
茫然,平静
站立不稳,慌张
自得,平静
微微侧过脸颊,害羞
饿极,哭泣
惊魂未定,惊讶
惊悸,惊讶
吃惊地捂住胸口,惊讶
微微低头盯着地面,害羞
兴奋地踢踏着脚,兴奋
偷喝对方水,调皮
赖床,平静
想要,心动
羞耻扭动,难为情
双手合十露出笑容,高兴
眼神带着怒火,生气
用手指轻轻点耳后,无奈
紧张地竖起耳朵听,担心
快速做笔记,认真
悄悄握紧拳头,害羞
心跳加速,紧张
眉头紧皱,厌恶
耳朵害羞地耷拉下来,害羞
歪着头,疑惑
排卵期躁动,心动
啪嗒啪嗒拍爪子,高兴
乱了阵脚,慌张
尽在掌握,自信
翻阅资料,认真
用脚尖画着小圆圈,无奈
兴奋地拍打桌面,兴奋
尾巴害羞地摆动了一下,害羞
害怕地垂下眼,害怕
挂心,担心
掌控节奏,自信
咬着笔杆思索,认真
慌张地语无伦次,慌张
担心地搓手指,担心
成瘾性反应,心动
开心地蹦着走路,兴奋
困惑地歪着脑袋思考你说的事情,疑惑
不安地揉着耳朵,担心
哭到蹲下,哭泣
用指腹轻轻搓耳垂,无奈
兴奋地拍打柜子,兴奋
手足无措地搓着衣角,害怕
紧张地捏着衣角,担心
用指腹轻轻摩挲杯沿,无奈
激动地握拳挥舞,兴奋
瞬间脸红,害羞
紧张地抓着衣角,担心
假哭骗人,调皮
用胶带粘人,调皮
恶心地干呕,厌恶
用心地核对信息,认真
羞耻漏奶,难为情
恶心地打了个寒颤,厌恶
紧张,紧张
眼泪啪嗒啪嗒掉,哭泣
翻开书本,认真
躲到你身后探出半个头,害怕
小声地嗯了一下,害羞
小心翼翼地后退,慌张
嫌弃地捏鼻子,厌恶
阅读着文件,认真
红着眼眶,哭泣
私处湿润,心动
哭到头痛,哭泣
疑惑地歪着头表示怀疑,疑惑
捂脸跑,难为情
指尖微微颤抖,害怕
嫌弃地翻了个白眼,厌恶
声音发颤,紧张
羞耻窒息,难为情
托腮思索,认真
用冰手贴脖,调皮
吹耳朵,调皮
突然背起来,调皮
脸红得像熟透的苹果,害羞
快乐地左右摇摆身体,兴奋
把书倒着拿,调皮
悄悄吞了口口水,害羞
脸颊气鼓鼓,生气
惊恐地腿软,害怕
易如反掌,自信
突然重启,难为情
处变不惊,自信
傲然屹立,自信
屏气凝神,紧张
焦虑地咬着指甲,担心
下意识地捏紧拳头,紧张
晃椅子腿,调皮
晃指,自信
生闷气不说话,生气
开心地小跑着转圈,兴奋
绞着衣角,慌张
大脑过载,难为情
下意识地往后缩,害怕
眉头皱得更深了,厌恶
窒息,紧张
羞耻漏拍,难为情
下意识握拳,紧张
从容不迫,平静
端正坐姿,认真
激动地扑腾着尾巴,高兴
不安地来回张望,紧张
震惊地后退半步,惊讶
开心地蹦跳着说话,兴奋
开心地蹦跳着拍手,兴奋
不紧不慢地分析,认真
怒气冲冲,生气
手指蜷缩,紧张
撅嘴别过头,生气
贪恋体温,心动
耳尖泛红,心动
冷静,平静
愕然无语,惊讶
坦然,平静
紧张地竖起耳朵,担心
眼睛闪闪发亮地跳起来,兴奋
放下,平静
平稳,平静
气定神闲,平静
用指甲轻轻刮桌面,无奈
突然当机,难为情
忧心地皱起眉头,担心
焦虑地捏着手指,担心
一丝不苟,认真
用手指轻轻点鼻梁,无奈
嘴角微抿,认真
不安地看向远处,担心
突然扑过来,兴奋
哭到晕眩,哭泣
手指发抖,紧张
甩了甩尾巴似乎想甩掉不爽,厌恶
低头盯着地板,紧张
气得耳朵颤抖,生气
用手扇风假装冷静,无奈
志得意满,自信
慌张地打翻东西,慌张
胆战心惊,惊讶
捏鼻子玩,调皮
开心地蹦跳着说话,兴奋
困惑地歪着脑袋思考你的说法,疑惑
后仰露颈,心动
休憩,平静
尾巴甩得更快了,高兴
小爪子比心,高兴
眯起眼睛,认真
紧张地抿嘴唇,紧张
把刘海往后捋叹气,无奈
掐腰不高兴,生气
勾唇,自信
指尖游移,心动
困惑地歪着脑袋看你,疑惑
快乐地左右摇晃椅子,兴奋
低头抹眼泪,哭泣
哭到捂胸,哭泣
媚眼如丝,心动
纳闷,疑惑
无欲则刚,平静
运筹帷幄,自信
轻轻拽着自己的袖子,害羞
焦虑地来回踱步,担心
捣蛋,调皮
眼神充满怨念,生气
露出幸福的表情,高兴
把脸埋进尾巴里,害羞
羞耻漏光,难为情
湿濡,心动
快乐地晃着脑袋,兴奋
嘴角微微颤抖,害羞
震惊地说不出话,惊讶
轻轻揉了揉眉心,厌恶
仔细观察,认真
石破天惊,惊讶
发情期至,心动
悄悄拽住你的衣角,高兴
激动地抓着钥匙跳,兴奋
皱着眉头嘟囔,厌恶
脚尖轻轻磨蹭着地面,害羞
难以置信地眨眼,惊讶
轻轻拍了拍衣服,厌恶
忧虑地低头,担心
开心地摇摆身体,高兴
认命,无奈
鼻子皱起冷哼,生气
微微颤抖着尾巴,害羞
紧张得呼吸急促,紧张
眼神迷离,心动
手掌冒汗,慌张
臣服强者,心动
手舞足蹈地转圈圈,兴奋
默然,平静
头微微后仰避开气味,厌恶
眼泪汪汪,哭泣
蹦蹦跳跳,高兴
傲然挺立,自信
脸上洋溢着笑意,高兴
狠狠瞪了你一眼,生气
用手指轻轻点太阳穴,无奈
炸毛,生气
不安地踢了踢地面,害羞
不解地歪着头思考你的意思,疑惑
叉腰怒视,生气
用橡皮砸人,调皮
难以置信,惊讶
尾巴害羞地缩起来,害羞
无动于衷,平静
用指甲轻轻刮脖子,无奈
恐惧地握紧手,害怕
手指不停搅动,慌张
不满地哼了一声,生气
眼神放空看向天花板,无奈
靠在墙上放空大脑,无奈
扯衣角,调皮
泪痕交错,哭泣
沉稳,平静
凶巴巴但毫无威慑力,生气
手心冒汗,紧张
生气地撇过头去,生气
酣睡,平静
眼神闪烁,慌张
惊奇万分,惊讶
激动地抱住抱枕打滚,兴奋
淡定从容,自信
啜泣不止,哭泣
皱着眉思考,认真
专注地观看视频,认真
笔直地坐着,认真
尾椎发麻,心动
小腹燥热,心动
神情慌乱,慌张
惊慌地蜷缩,害怕
激动地抓着水杯跳,兴奋
脸颊烧得通红,害羞
把鞋藏床底,调皮
把脸埋进手掌里叹气,无奈
紧张地竖起耳朵听,担心
索取更多,心动
低头不敢看你,害羞
渴求征服,心动
装傻,调皮
细心调整内容,认真
轻咬下唇,紧张
疑惑地歪着尾巴思考你的描述,疑惑
怒气冲冲地甩尾巴,生气
快乐地左右晃着腿,兴奋
敏感度翻倍,心动
轻快地晃晃身体,高兴
恼火地甩尾巴,生气
紧张地揪着衣服,害羞
不安地揉着耳朵,担心
突然贴脸,调皮
咽了咽口水,害怕
担心地咬嘴唇,担心
魂飞魄散,惊讶
举重若轻,自信
臣服天性,心动
开心地小跑转圈,兴奋
轻轻扭动身体,害羞
没睡醒,平静
羞耻漏音,难为情
兴奋地抓着你的手臂摇晃,兴奋
社会性死亡,难为情
云淡风轻,平静
胡言乱语,难为情
不安地摆弄尾巴,担心
兴奋地拍打墙壁,兴奋
终极羞耻,害羞
泪眼朦胧,哭泣
悄悄往后退了一步,害羞
泪如断珠,哭泣
迷惑地看着,疑惑
眼里闪着思考的光,认真
哭到仰头,哭泣
惊慌地喘粗气,害怕
胸有城府,自信
轻轻按住自己的胸口,害羞
尾巴翘得更高了,高兴
开心地拍打自己的脸,兴奋
震惊,惊讶
不安地看向窗外,担心
摇晃着尾巴,高兴
成竹在胸,自信
寡淡,平静
带着哭腔,哭泣
不甘心,生气
不安地揪衣角,担心
羞耻打嗝,难为情
情欲涌动,心动
信手拈来,自信
抱膝哭泣,哭泣
凝视着前方,认真
自暴自弃,慌张
职业素养崩溃,慌张
双手交叉思考,认真
担心地握紧手,担心
悄悄地往你身后缩,害怕
轻轻皱眉,认真
嫌弃地晃了晃耳朵,厌恶
镇静,平静
双手抱胸叹气,无奈
担心地皱眉,担心
如坐针毡,慌张
鼓着腮帮,生气
紧张地搓着手指,紧张
稳如磐石,自信
泪水决堤,哭泣
手足无措地站着,慌张
反感地皱着脸,厌恶
突然短路,难为情
忙乱,慌张
疏离,平静
皱起鼻子,厌恶
警惕,紧张
慌乱地四处张望,慌张
呆若木鸡,惊讶
快乐地前后摆动手臂,兴奋
惊为天人,惊讶
皱起眉头撅嘴,生气
低头回避目光,紧张
轻轻眨眼,高兴
低头玩衣角不接话,无奈
快乐地晃着双脚,兴奋
当场去世,难为情
安然,平静
害怕地哆嗦,害怕
羞耻漏光,难为情
静默,平静
扭头看向窗外发呆,无奈
揉着眉心叹气,无奈
惊叫,惊讶
困倦,平静
淡然处之,平静
羞赧地搓手指,难为情
困惑地自言自语,疑惑
突然暴起,生气
全神贯注地听讲,认真
疑惑地歪着头表示不太明白,疑惑
躲进你怀里,害怕
伸懒腰,平静
耐心地研读,认真
悠然,平静
靠着墙慢慢滑坐下去,无奈
耳朵僵硬地立着,紧张
调皮地做鬼脸,调皮
嘴角抽搐但保持沉默,无奈
始料未及,惊讶
专心致志,认真
傲然,自信
惊慌地四处看,害怕
放空,平静
忧虑地攥紧手机,担心
把手插在口袋里晃悠,无奈
挠痒痒,调皮
悄悄屏住呼吸,害怕
困,平静
惊慌地倒退两步,害怕
深吸一口气,紧张
稳操胜算,自信
假装要头槌,调皮
犯困,平静
困惑地竖起一根手指,疑惑
把手放进衣兜里叹气,无奈
低头快速记录,认真
慌张地结巴,慌张
疯狂摇头,难为情
抱紧自己,慌张
妥协,无奈
泪水涟涟,哭泣
担心地绞着尾巴,担心
吃惊地张开嘴,惊讶
尾巴摇成风扇,高兴
用尾巴轻轻拍自己小腿,无奈
突然变得局促,慌张
双腿交叠,心动
突然学鸟啾,调皮
羞耻漏尿,难为情
困惑地歪着脑袋发出困惑的声音,疑惑
幽静,平静
吃惊地捏自己一下,惊讶
害怕地躲到角落,害怕
快乐地前后蹦跳,兴奋
握笔沉思,认真
居高临下,自信
手指轻轻绞在一起,害羞
沉浸在思考中,认真
沉稳地书写,认真
困惑地歪着头,疑惑
欢呼着举起双手,兴奋
厌恶地撇嘴,厌恶
猝不及防,惊讶
咬着嘴唇,害羞
撇嘴瞪你,生气
性感带觉醒,心动
惊骇,惊讶
不解地看着你,疑惑
托腮静思,认真
主动索吻,心动
困惑地托着下巴,疑惑
红着脸缩到角落里,害羞
做出夸张的嫌弃表情,厌恶
惊颤,惊讶
疯狂眨眼,难为情
扑闪着大眼睛,高兴
嘴角轻轻抽搐,厌恶
冷静,平静
昂首,自信
快乐地上下蹦跳,兴奋
嫌弃地吹气,厌恶
仔细核对,认真
睥睨一切,自信
难掩渴求,心动
记忆性快感,心动
唾手可得,自信
脸红爆炸,难为情
扶着脸颊叹气,无奈
意外地眨眨眼,惊讶
握拳不满,生气
捧着脸开心地眯眼,高兴
露出小虎牙,高兴
吓得咬嘴唇,害怕
专注地看着,认真
朦胧,平静
反感地转过头,厌恶
不慌不忙,自信
紧张地搓着手指,害怕
主动贴近,心动
突然打了个寒颤,害怕
小声地咕哝了一下,害羞
躲到你身后发抖,害怕
厌恶地撇开目光,厌恶
好奇地竖起耳朵,疑惑
双手抱胸思考,认真
嫌弃地翻白眼,厌恶
轻轻咂嘴但没反驳,无奈
扮鬼脸,调皮
突然坏笑,调皮
语无伦次,慌张
厌恶地深呼吸又憋住,厌恶
羞耻假死,难为情
托腮发呆不想回应,无奈
兴奋地拍打胸口,兴奋
眼睛弯成月牙,高兴
晒太阳,平静
慌张地走来走去,慌张
不悦地盯着你,生气
从容应对,自信
热锅上的蚂蚁,慌张
紧张地攥紧拳头,紧张
用手指点着桌面计数,无奈
快乐地上下晃动手臂,兴奋
嘴角微微翘起,高兴
害怕地低下头,害怕
悄悄低下头,害羞
害怕地抱头蹲下,害怕
焦虑地来回踱步,担心
焦虑地揉着耳朵,担心
翻着白眼嘟嘴,生气
缩成球,难为情
不安地看向远处,担心
分泌爱液,心动
垂死挣扎,难为情
紧张地竖起耳朵,担心
皱眉盯着你,生气
低头沉思,认真
泪腺决堤,哭泣
濡染,心动
无声地掉眼泪,哭泣
担心地来回踱步,担心
崩溃,慌张
哺乳期敏感,心动
无声,平静
泪滑颈线,哭泣
自暴自弃,慌张
情欲印记,心动
提心吊胆,紧张
手足无措地站着,害羞
扑进你怀里,高兴
激动得耳朵抖动,高兴
激动得脸颊泛红,兴奋
突然公主抱,调皮
低头玩手指不想搭理,无奈
用手指轻轻敲椅背,无奈
不关心,平静
溢出,心动
歪着头思考,认真
用尾巴轻轻缠住手腕,无奈
惊吓,惊讶
意兴阑珊,平静
哭到缺氧,哭泣
困惑地歪着脑袋思考你的话,疑惑
自暴自弃,慌张
贪食体液,心动
担心地绞着尾巴,担心
懒得动,平静
瞪大眼睛不敢动弹,害怕
害羞得挠了挠耳朵,害羞
突然死机,难为情
敏感度提升,心动
担心地揉着耳朵,担心
不解地歪着耳朵思考,疑惑
困惑地歪着脑袋思考你的话,疑惑
反感地抱起手臂,厌恶
耳朵竖起,生气
兴奋地扑腾爪子,高兴
突然抱紧,调皮
用发夹夹袖,调皮
嫌弃地甩了甩头,厌恶
开心地蹦着转圈,兴奋
耳朵微微颤抖,紧张
厌恶地绷着脸,厌恶
兴奋地抓住你的手,高兴
额头冒汗,紧张
不解地歪着耳朵,疑惑
轻轻拉住自己的袖口,害羞
慌乱地看表,慌张
害怕地闭紧眼,害怕
眼神回避,紧张
满足地眯起眼睛,高兴
狂喜,兴奋
叉着腰冷哼,生气
认真思考,认真
生气地晃着尾巴,生气
害怕地躲起来,害怕
假装要踩脚,调皮
惊恐地尖叫,害怕
心平气和,平静
屈服,哭泣
带着哭腔,害怕
快乐地左右摇摆椅子,兴奋
翻着白眼,生气
迫不及待地点头,高兴
幻想妊娠,心动
突然举高高,调皮
慢慢整理逻辑,认真
跺脚抗议,生气
释然,平静
静静地思考,认真
焦虑地来回走动,担心
雀跃地跳了两下,高兴
焦虑,担心
隔岸观火,平静
难以想象,惊讶
举棋若定,自信
羞耻打滚,难为情
泪打转儿,哭泣
用尾巴把自己稍微裹住,无奈
突然站起来,慌张
泪沾睫毛,哭泣
不耐烦地叹了口气,厌恶
紧张地攥紧拳头,担心
气呼呼地鼓起脸颊,生气
不爽地哼一声,生气
月朗风清,平静
吐息温热,心动
泪如雨下,哭泣
扑进你怀里蹭蹭,高兴
用尾巴挡住鼻子,厌恶
耳朵耸拉下来,紧张
尾巴炸开,生气
调皮地蹦跳,调皮
羞耻撞墙,难为情
惊慌失措,慌张
索求无度,心动
嫌弃地后退了半步,厌恶
尾巴害怕地抖动,害怕
疑惑地歪着头表示不明白,疑惑
疲乏,平静
认真地审视,认真
惊异非常,惊讶
调皮地戳一下就跑,调皮
没精神,平静
绞着衣角不敢看,紧张
惊恐地看着前方,害怕
眼神飘忽不定,紧张
捏了捏自己的衣角,害羞
疑惑地歪着尾巴思考你说的话,疑惑
情热难耐,心动
贪求快感,心动
反感地绷紧下巴,厌恶
呼吸变快,紧张
扶了扶眼镜,认真
核爆级羞耻,难为情
黑化,调皮
拍拍爪子,高兴
呆然,平静
呼吸变得急促,紧张
难为情地低头,难为情
平息,平静
耍滑,调皮
张开双手迎接你,高兴
难耐,心动
突然警觉,紧张
脸颊微微泛红,害羞
低头看着报告,认真
臣服欲望,心动
泪浸衣领,哭泣
慌张,慌张
撅起嘴不理人,生气
把手放在后颈上叹气,无奈
耷拉着耳朵叹气,无奈
吓得闭上眼,害怕
渴望触碰,心动
突然乱码,难为情
完全没想到,惊讶
尾巴不安地动了动,害羞
紧张地吞咽口水,紧张
摇头晃脑,高兴
渴求内射,心动
轻轻靠近又立刻后退,害羞
不解地歪着头思考你的话,疑惑
不解地歪着耳朵听你说明,疑惑
小跑着靠近你,高兴
不好意思地笑,难为情
慌张地握紧又松开,慌张
惊愕地捂住嘴,惊讶
用围巾捆手,调皮
木然,平静
假装要踢人,调皮
慌张地环顾四周,慌张
泪落如豆,哭泣
羞赧地躲闪目光,难为情
兴奋地拍打大腿,兴奋
发出轻快的哼声,高兴
讨厌,厌恶
气得直跺脚,生气
厌恶地移开视线,厌恶
不安地左右晃动,慌张
沉着冷静,认真
不开心地嘟囔,生气
灵魂出窍,难为情
泪流满面,哭泣
用手梳了梳耳朵的毛,无奈
稳坐钓鱼,自信
屈服性快感,心动
幻想受孕,心动
倦意,平静
静谧,平静
紧张地捏着衣角,担心
害羞地偷偷瞄了一眼,害羞
愕然地僵在原地,惊讶
攥紧袖口,紧张
咬着嘴唇思考,认真
耳朵紧紧贴着头,害怕
突然吓人,调皮
假装要推倒,调皮
不自觉地翘起嘴角,高兴
羞耻漏色,难为情
开心地伸个懒腰,高兴
羞耻漏勺,难为情
激动地原地蹦跳,兴奋
不安地看向远处,担心
快乐地左右晃动手臂,兴奋
用尾巴轻轻扫过地板,无奈
困惑地歪着脑袋思考你的意思,疑惑
假装要亲亲,调皮
嘴角止不住地上扬,高兴
燥热,心动
哺乳渴望,心动
戳脸颊,调皮
紧张地捏着衣角,担心
偷偷吸了一口气,害羞
震惊,惊讶
快乐地前后晃动椅子,兴奋
脚尖轻点地面,紧张
生气地抬起头,生气
撇了撇嘴,厌恶
决胜千里,自信
不安地看向门口,担心
抽泣,哭泣
胜似闲庭,自信
发呆,平静
害怕地捂住脸,害怕
抿嘴露出勉强的笑容,无奈
咧开嘴露出小尖牙,高兴
手足无措,慌张
鼓着脸颊生闷气,生气
快乐地前后晃动身体,兴奋
害羞地摸了摸鼻子,害羞
哭花妆容,哭泣
兴奋地拍打冰箱门,兴奋
快乐地左右摇摆,兴奋
小心翼翼地往后退,害怕
触目惊心,惊讶
不动声色,平静
疑惑地竖起耳朵听,疑惑
兴奋地摇晃着尾巴,兴奋
咬唇落泪,哭泣
昏昏欲睡,平静
闭目,平静
轻轻拍你,高兴
兴奋地拍打车窗,兴奋
心疼,担心
拘谨,紧张
开心得语速飞快,兴奋
稳操胜券,自信
嘴巴微微撅起,厌恶
自爆发言,难为情
害羞地捂住嘴巴,害羞
索然无味,平静
古井无波,平静
脸红到耳根,害羞
身体微微颤抖,害怕
兴奋地拍打树干,兴奋
